７０,ナナゼロ
理論的,リロンテキ
ようやく完成,ヨウヤクカンセイ
公開会議,コウカイカイギ
理論科学者,リロンカガクシャ
KS科学,カスカガク
最終調整,サイシュウチョウセイ
ラグランジアン,ラグランジアン
重要性,ジュウヨウセイ
山口さん,ヤマグチサン
プレゼン道,プレゼンドウ
研究環境,ケンキュウカンキョウ
青木先生,アオキセンセイ
科学一般,カガクイッパン
世界的,セカイテキ
KEK理論,ケックリロン
阪大SAP,ハンダイエスエイピー
五時間,ゴジカン
二階,ニカイ
展望ワークショップ,テンボウワークショップ
会議前,カイギマエ
搭乗口,トウジョウグチ
将来展望,ショウライテンボウ
キャンパス内,キャンパスナイ
２巻,ニカン
研究棟,ケンキュウトウ
Yahooニュース,ヤフーニュース
物理研究会,ブツリケンキュウカイ
３週間,サンシュウカン
数日,スウニチ
原理論,ゲンリロン
久世さん,クゼサン
施設開放,シセツカイホウ
京大基,キョウタイキ
退官記念,タイカンキネン
関連論文,カンレンロンブン
ニュートン別冊,ニュートンベッサツ
大変残念,タイヘンザンネン
生来聴,セイライチョウ
ヶ月後,カゲツゴ
幸士先生,コウシセンセイ
１行,イチコウ
田中君,タナカクン
あと数,アトスウ
理学研究科施設,リガクケンキュウカシセツ
４月号,シガツゴウ
三時,サンジ
郷土博物館,キョウドハクブツカン
執筆陣,シッピツジン
講義終了,コウギシュウリョウ
僕の,ボクノ
１２月号,ジュウニガツゴウ
観測屋,カンソクヤ
空間的,クウカンテキ
正仁先生,セイジセンセイ
最終講演,サイシュウコウエン
益川ホール,マスカワホール
動画撮影,ドウガサツエイ
年生向け,ネンセイムケ
研究内容,ケンキュウナイヨウ
大学ランキング,ダイガクランキング
研究室ホームページ,ケンキュウシツホームページ
講演概要,コウエンガイヨウ
２月号,ニガツゴウ
特任,トクニン
二週間,ニシュウカン
可視化プロジェクト,カシカプロジェクト
レビュー感謝,レビューカンシャ
記念式典,キネンシキテン
北野龍一郎,キタノリュウイチロウ
年次報告,ネンジホウコク
人以上,ニンイジョウ
公式チャンネル,コウシキチャンネル
NHKニュース,エヌエイチケイニュース
室員,シツイン
facebookページ,フェイスブックページ
九時,キュウジ
大阪帝大,オオサカテイダイ
目的外,モクテキガイ
執筆中,シッピツチュウ
啓蒙書,ケイモウショ
一個,イチコ
無事到着,ブジトウチャク
HITSPAPER,ヒッツペーパー
坂東さん,バンドウサン
なんやこれ,ナンヤコレ
散乱断面,サンランダンメン
黒板ライブ,コクバンライブ
柴原口,シバハラグチ
はやぶさ２,ハヤブサニ
一世紀,イチセイキ
分の研究,ブンノケンキュウ
駒宮幸男,コマミヤユキオ
三年,サンネン
年半,ネンハン
拘束条件,コウソクジョウケン
４年生,ヨンネンセイ
論文投稿,ロンブントウコウ
向山信治,ムコウヤマシンジ
１限,イチゲン
ブックカフェ,ブックカフェ
講演準備,コウエンジュンビ
精神的,セイシンテキ
最終巻,サイシュウマキ
発表スライド,ハッピョウスライド
おばちゃん,オバチャン
重力実験,ジュウリョクジッケン
５本,ゴホン
人５,ニンゴ
経度線,ケイドセン
０分の,ゼロブンノ
