ころコンピュータ,コロコンピュータ
自宅PC,ジタクピーシー
読み出し可能,ヨミダシカノウ
書き込みOK,カキコミオーケイ
参加者数,サンカシャスウ
th2014年,ティーエッチニセンジュウヨネン
総会資料,ソウカイシリョウ
参加者数,サンカシャスウ
それ以降,ソレイコウ
総会資料,ソウカイシリョウ
キャパ的,キャパテキ
これ以上,コレイジョウ
周年記念,シュウネンキネン
記念号,キネンゴウ
人工知能学会誌,ジンコウチノウガッカイシ
年分,ネンブン
選好順序,センコウジュンジョ
人が最初,ジンガサイショ
以前どこ,イゼンドコ
人口知能学会,ジンコウチノウガッカイ
聴講録,チョウコウロク
録更新,ロクコウシン
昨日日本,キノウニッポン
自分的,ジブンテキ
1番自分,イチバンジブン
自分的,ジブンテキ
DM系,ダイレクトメールケイ
日本開催,ニッポンカイサイ
参加者数,サンカシャスウ
