の非常,ノヒジョウ
物理本,ブツリホン
周り人,マワリジン
回文一つ,カイブンヒトツ
赤道上,セキドウジョウ
マス目,マスメ
横それぞれ,ヨコソレゾレ
それぞれ一,ソレゾレイチ
一本,イチホン
解読書,カイドクショ
数学者たち,スウガクシャタチ
天才たち,テンサイタチ
数十,スウジュウ
十年来,ジュウネンライ
お母さん方,オカアサンカタ
二次元,ニジゲン
次元小説,ジゲンショウセツ
川村光,カワムラヒカリ
光先生,ヒカリセンセイ
日本屋,ニッポンヤ
さげ,サゲ
テレビ取材,テレビシュザイ
来週木曜日,ライシュウモクヨウビ
午後５,ゴゴゴ
５時,ゴジ
７時,ナナジ
ABC朝日,エービーシーアサヒ
朝日放送,アサヒホウソウ
二次元,ニジゲン
次元小説,ジゲンショウセツ
日本語的,ニホンゴテキ
素粒子論,ソリュウシロン
境界項,キョウカイコウ
大学二年生,ダイガクニネンセイ
二年生的,ニネンセイテキ
講演準備,コウエンジュンビ
大変危険,タイヘンキケン
一歩,イチホ
１つ上,ヒトツジョウ
客観的,キャッカンテキ
大変お世話,タイヘンオセワ
二次元,ニジゲン
次元空間,ジゲンクウカン
完成度,カンセイド
二次元,ニジゲン
次元小説,ジゲンショウセツ
Googleディープマインド,グーグルディープマインド
ディープマインド社,ディープマインドシャ
人工知能エンジン,ジンコウチノウエンジン
倍向上,バイコウジョウ
南部陽一郎氏,ナンブヨウイチロウシ
刊行開始,カンコウカイシ
閲読可能,エツドクカノウ
冷却原子,レイキャクゲンシ
パラメタ調整,パラメタチョウセイ
machin,マッハイン
ine-learning,インイーラーニング
初貝さん,ハツガイサン
感傷的,カンショウテキ
近似的,キンジテキ
五回,ゴカイ
回回転対称,カイカイテンタイショウ
周期的,シュウキテキ
的タイル,テキタイル
周期的,シュウキテキ
的タイル,テキタイル
二次元,ニジゲン
次元小説,ジゲンショウセツ
ゲームブック作家,ゲームブックサッカ
二次元,ニジゲン
次元小説,ジゲンショウセツ
小説すばる6月,ショウセツスバルロクガツ
6月号,ロクガツゴウ
歩道タイル,ホドウタイル
タイルマニア,タイルマニア
ボツ計算,ボツケイサン
計算結果,ケイサンケッカ
阪大理学部,ハンダイリガクブ
能動性,ノウドウセイ
性プログラム,セイプログラム
一年生,イチネンセイ
来週木曜日,ライシュウモクヨウビ
西森秀,ニシモリシゲル
秀稔,シゲルミノリ
稔先生,ミノリセンセイ
東工大教授,トウコウダイキョウジュ
ほんま好き,ホンマスキ
大栗さん,オオグリサン
半球面,ハンキュウメン
奇妙さ,キミョウサ
物性分野,ブッセイブンヤ
物性分野,ブッセイブンヤ
阪大物理,ハンダイブツリ
大学院入試,ダイガクインニュウシ
入試説明会,ニュウシセツメイカイ
東京会場,トウキョウカイジョウ
推薦書,スイセンショ
書２つ,ショフタツ
あと３つ,アトミッツ
推薦書,スイセンショ
結晶構造解明,ケッショウコウゾウカイメイ
重要データ,ジュウヨウデータ
２次元,ニジゲン
次元小説,ジゲンショウセツ
2次元小説,ニジゲンショウセツ
宇宙感,ウチュウカン
4次元動画,ヨジゲンドウガ
動画小説,ドウガショウセツ
Yahooニュース,ヤフーニュース
初貝さん,ハツガイサン
バルクエッジ,バルクエッジ
エッジ対応,エッジタイオウ
ホテル高層,ホテルコウソウ
高層階,コウソウカイ
素粒子論,ソリュウシロン
文系さん,ブンケイサン
文系的,ブンケイテキ
理系的,リケイテキ
朝日新聞ウィズ,アサヒシンブンウィズ
ウィズニュース,ウィズニュース
超ひも理論知覚,チョウヒモリロンチカク
知覚化,チカクカ
化プロジェクト,カプロジェクト
2次元小説,ニジゲンショウセツ
宇宙感,ウチュウカン
ウィズニュース,ウィズニュース
新幹線車内,シンカンセンシャナイ
講演スライド,コウエンスライド
一枚,イチマイ
枚追加,マイツイカ
全体構成,ゼンタイコウセイ
若干修正,ジャッカンシュウセイ
初貝研究,ハツガイケンキュウ
研究室,ケンキュウシツ
議論楽しみ,ギロンタノシミ
１時間,イチジカン
時間講演,ジカンコウエン
１６,イチロク
６ページ,ロクページ
史学関係,シガクカンケイ
方とお話,ホウトオハナシ
景年絵,ケイトシエ
んだけど…,ンダケド
衛手,マモルシュ
手先生,シュセンセイ
〇〇,レイレイ
ツイッター集合知,ツイッターシュウゴウチ
時間二,ジカンニ
二次元,ニジゲン
次元小説,ジゲンショウセツ
my論文,マイロンブン
物性分野,ブッセイブンヤ
素核,モトカク
核宇,カクソラ
共同研究,キョウドウケンキュウ
研究者,ケンキュウシャ
複数名,フクスウメイ
とき便利,トキベンリ
アジア冬,アジアフユ
大栗さん,オオグリサン
理論物理,リロンブツリ
山崎さん,ヤマザキサン
時間３,ジカンサン
３次元,サンジゲン
次元小説,ジゲンショウセツ
４次元,ヨンジゲン
次元小説,ジゲンショウセツ
時間高次,ジカンコウジ
小説プロジェクト,ショウセツプロジェクト
堂園さん,ドゾノサン
サイエンス会社員,サイエンスカイシャイン
成田真弥,ナリタマヤ
フリーランス編集者,フリーランスヘンシュウシャ
塚田有,ツカダユウ
有那,ユウダ
超ひも理論知覚,チョウヒモリロンチカク
知覚化,チカクカ
化プロジェクト,カプロジェクト
ウェブサイト更新,ウェブサイトコウシン
６次元,ロクジゲン
次元トーラス,ジゲントーラス
切断面,セツダンメン
山口崇司,ヤマグチシユウジ
崇司さん,シユウジサン
さんデザイン,サンデザイン
公開会議,コウカイカイギ
山口さん,ヤマグチサン
２次元,ニジゲン
次元小説,ジゲンショウセツ
４次元,ヨンジゲン
次元小説,ジゲンショウセツ
堂園さん,ドゾノサン
さんデザイン,サンデザイン
時間高次,ジカンコウジ
小説プロジェクト,ショウセツプロジェクト
宇宙LIVE,ウチュウライブ
時間２,ジカンニ
２次元,ニジゲン
次元小説,ジゲンショウセツ
チョーク絵,チョークエ
宇宙ひもと,ウチュウヒモト
大変快適,タイヘンカイテキ
LostMaya,ロストマヤ
加筆コメント,カヒツコメント
みんなこれ,ミンナコレ
ケプラー望遠鏡,ケプラーボウエンキョウ
１日,イチニチ
日議論,ニチギロン
理論物理,リロンブツリ
物理センター,ブツリセンター
ケプラー衛星,ケプラーエイセイ
今週火曜日,コンシュウカヨウビ
NASAto,ナサトゥ
台湾清華大学,タイワンセイカダイガク
清華会館,セイカカイカン
講演スライド,コウエンスライド
一回,イチカイ
回確認,カイカクニン
三枚,サンマイ
枚そり,マイソリ
そりうし,ソリウシ
うしＴシャツ,ウシティーシャツ
招待講演,ショウタイコウエン
そりうし,ソリウシ
うしＴシャツ,ウシティーシャツ
そりうし,ソリウシ
面上,メンジョウ
結局効率,ケッキョクコウリツ
積分サークル,セキブンサークル
積分サークル,セキブンサークル
二次元,ニジゲン
次元小説,ジゲンショウセツ
二次元,ニジゲン
次元小説,ジゲンショウセツ
１枚,イチマイ
７０,ナナゼロ
０通り,ゼロトオリ
二次元,ニジゲン
次元小説,ジゲンショウセツ
2次元小説,ニジゲンショウセツ
時間反転,ジカンハンテン
反転対称性,ハンテンタイショウセイ
空間反転,クウカンハンテン
荷電共役,カデンキョウヤク
白黒反転,シロクロハンテン
反転文字,ハンテンモジ
数字らじお,スウジラジオ
forNational,フォーナショナル
卓越研究員,タクエツケンキュウイン
推薦書,スイセンショ
共同研究,キョウドウケンキュウ
研究者,ケンキュウシャ
論文草稿,ロンブンソウコウ
論文出版,ロンブンシュッパン
時間３,ジカンサン
４次元,ヨンジゲン
次元小説,ジゲンショウセツ
視覚化,シカクカ
２次元,ニジゲン
立体動画,リッタイドウガ
堂園さん,ドウゾノサン
超ひも理論知覚,チョウヒモリロンチカク
知覚化,チカクカ
化プロジェクト,カプロジェクト
津田大介さん,ツダダイスケサン
電話出演,デンワシュツエン
出演予定,シュツエンヨテイ
時間２,ジカンニ
２次元,ニジゲン
次元小説,ジゲンショウセツ
２年,ニネン
年越し,ネンゴシ
論文草稿,ロンブンソウコウ
１稿,イチコウ
西村勇人,ニシムラハヤト
勇人さん,ハヤトサン
自分の,ジブンノ
電話出演,デンワシュツエン
出演予定,シュツエンヨテイ
今号,イマゴウ
PhysicsToday,フィジクストゥデイ
年後,ネンゴ
エッセイコンテスト,エッセイコンテスト
受賞作,ジュショウサク
生命体,セイメイタイ
国際研究,コクサイケンキュウ
研究チーム,ケンキュウチーム
西村勇人,ニシムラハヤト
勇人さん,ハヤトサン
サイエンスの,サイエンスノ
ばい所,バイショ
西村勇人,ニシムライサムジン
人個展,ジンコテン
数値計算結果,スウチケイサンケッカ
論文草稿,ロンブンソウコウ
２年,ニネン
年前,ネンマエ
２週間,ニシュウカン
西村勇人,ニシムラハヤト
勇人さん,ハヤトサン
facebookグループ,フェイスブックグループ
共同主催,キョウドウシュサイ
強磁場,ツヨシジバ
磁場施設,ジバシセツ
西村勇人,ニシムライサムジン
人個展,ジンコテン
facebook公開,フェイスブックコウカイ
公開group,コウカイグループ
テスラ以上,テスライジョウ
６ヶ所,ロクカショ
強磁場,ツヨシジバ
磁場科学,ジバカガク
科学研究,カガクケンキュウ
研究センター,ケンキュウセンター
世界最強,セカイサイキョウ
最強磁場,サイキョウジバ
伊達宗行先生,ダテムネユキセンセイ
銅パイプ,ドウパイプ
パルス強,パルスキョウ
強磁場,キョウジバ
シワシワ,シワシワ
銅パイプ,ドウパイプ
ミリ秒,ミリビョウ
１０,イチゼロ
０メガ,ゼロメガ
メガジュール,メガジュール
ジュール相当,ジュールソウトウ
瞬間的,シュンカンテキ
６０,ロクゼロ
