赤坂レッドシアター,アカサカレッドシアター
最終的,サイシュウテキ
時間通り,ジカンドオリ
marginwise,マージンワイズ
坪井さん,ツボイサン
DP好き,トウロンガタヨロンチョウサスキ
系列ラベリング,ケイレツラベリング
部分的アノテーション,ブブンテキアノテーション
能動学習,ノウドウガクシュウ
発表スライド,ハッピョウスライド
ガイドライ,ガイドライ
データセット毎,データセットゴト
Googleimage,グーグルイマージュ
８年,ハチネン
マルチモーダル,マルチモーダル
モーダル学習,モーダルガクシュウ
隠れ層,カクレソウ
クラスごと,クラスゴト
ニュース記事,ニュースキジ
株価予測,カブカヨソク
イベント抽出,イベントチュウシュツ
読み会,ヨミカイ
SlideShare,スライドシェア
Shareさん,シェアサン
口頭発表,コウトウハッピョウ
ポスター発表,ポスターハッピョウ
発表方法,ハッピョウホウホウ
研究者,ケンキュウシャ
情報共有,ジョウホウキョウユウ
スイッチ開発,スイッチカイハツ
高速キー,コウソクキー
キー入力,キーニュウリョク
ロジクール製,ロジクールセイ
製キーボード,セイキーボード
店頭デモ,テントウデモ
デモ中,デモチュウ
DOMtree,ディーオーエムツリー
tree中,ツリーチュウ
若干空き,ジャッカンアキ
読み会,ヨミカイ
文京体育館,ブンキョウタイイクカン
予想以上,ヨソウイジョウ
シャッター速度,シャッターソクド
速度最高,ソクドサイコウ
世界初光学,セカイハツコウガク
光学式,コウガクシキ
軸手ブレ,ジクテブレ
手ブレ補正,テブレホセイ
補正機能,ホセイキノウ
機能内蔵,キノウナイゾウ
mmフルサイズ,ミリメートルフルサイズ
フルサイズデジタル,フルサイズデジタル
デジタル一,デジタルイチ
一眼,イチメ
眼カメラ,メカメラ
丁度さん,チョウドサン
カラー表示,カラーヒョウジ
自動生成,ジドウセイセイ
プログラム開発,プログラムカイハツ
正解率,セイカイリツ
１０,イチゼロ
００,ゼロゼロ
０％,ゼロパーセント
ポスター発表,ポスターハッピョウ
発表数,ハッピョウスウ
西川さん,ニシカワサン
リポート形式,リポートケイシキ
形式案,ケイシキアン
みんな興味,ミンナキョウミ
先生方と,センセイホウト
研究内容,ケンキュウナイヨウ
内容自体,ナイヨウジタイ
トップ層,トップソウ
あと研究,アトケンキュウ
研究部門,ケンキュウブモン
標準的,ヒョウジュンテキ
年収高,ネンシュウダカ
高そう,ダカソウ
映像撮影,エイゾウサツエイ
さそう,サソウ
企業側,キギョウガワ
研究者,ケンキュウシャ
者コミュニティー,シャコミュニティー
ボク自身,ボクジシン
エンジニアサイド,エンジニアサイド
就職先,シュウショクサキ
情報系,ジョウホウケイ
専門技能,センモンギノウ
こと学会,コトガッカイ
就職先,シュウショクサキ
一石,イチセキ
石三,セキサン
三鳥,サントリ
Thompsonsampling,トンプソンサンプリング
発表順,ハッピョウジュン
半分終了,ハンブンシュウリョウ
一走目,ヒトハシリメ
目終了,メシュウリョウ
場所取り,バショトリ
鈴鹿きた,スズカキタ
Haskell需要,ハスケルジュヨウ
のw,ノワット
一緒に背伸び,イッショニセノビ
言語処理,ゲンゴショリ
処理若手,ショリワカテ
会委員長,カイイインチョウ
委員長MTG,イインチョウエムティージー
３人,サンニン
３年間,サンネンカン
大変意識,タイヘンイシキ
３年,サンネン
年会,ネンカイ
学会発,ガッカイハツ
皆様協力,ミナサマキョウリョク
Go力,ゴーリョク
便利そう,ベンリソウ
go的,ゴーテキ
paragraph,ピーエーアールアグラフ
agraphvector,アグラフベクター
クラスローダー,クラスローダー
委譲モデル,イジョウモデル
複数バージョン,フクスウバージョン
クラスローダー,クラスローダー
SlideShare,スライドシェア
Shareさん,シェアサン
これ便利,コレベンリ
経験的,ケイケンテキ
ゴム系,ゴムケイ
それ何,ソレナニ
ライブラリ充実,ライブラリジュウジツ
コード管理,コードカンリ
管理システム,カンリシステム
figureみたい,フィギュアミタイ
章番号,アキラバンゴウ
番号付き,バンゴウツキ
インクルードガード,インクルードガード
自動生成,ジドウセイセイ
gitclone,ギットクローン
時間遷移,ジカンセンイ
具体的,グタイテキ
観測系列,カンソクケイレツ
隠れ状態,カクレジョウタイ
pfiseminar,ピーエフアイセミナー
人工知能みずほ,ジンコウチノウミズホ
みずほ銀,ミズホギン
NHKニュース,エヌエイチケイニュース
エラー時,エラージ
撮影後,サツエイゴ
12月国内,ジュウニガツコクナイ
国内発売,コクナイハツバイ
万円,マンエン
標準ライブラリ,ヒョウジュンライブラリ
エラー時,エラージ
MM読了,エムエムドクリョウ
デジタル時代,デジタルジダイ
著作権ちくま新書,チョサクケンチクマシンショ
網羅的,モウラテキ
MM読了,エムエムドクリョウ
孫正義正伝,ソンマサヨシセイデン
正伝完全,セイデンカンゼン
完全版,カンゼンバン
版実業之日本社文庫,バンジツギョウノニホンシャブンコ
孫さん,マゴサン
何枚,ナンマイ
スレッドローカル,スレッドローカル
標準入出力,ヒョウジュンニュウシュツリョク
エラー通知,エラーツウチ
通知周り,ツウチマワリ
一日,イチニチ
日中,ニチチュウ
中写真,チュウシャシン
発表会,ハッピョウカイ
東工大大岡山,トウコウダイオオオカヤマ
大岡山キャンパス,オオオカヤマキャンパス
一点,イチテン
点突破,テントッパ
白戦,シロセン
WeekendTokyo,ウィークエンドトウキョウ
TokyoTech,トウキョウテック
参加登録,サンカトウロク
登録よろしくお願いします,トウロクヨロシクオネガイシマス
発表者,ハッピョウシャ
読み会,ヨミカイ
土屋さん,ツチヤサン
カミソリ分解,カミソリブンカイ
情報処理学会主催,ジョウホウショリガッカイシュサイ
主催講演会,シュサイコウエンカイ
自然言語処理合同,シゼンゲンゴショリゴウドウ
合同勉強会,ゴウドウベンキョウカイ
帰宅大成功,キタクダイセイコウ
魔法使い二,マホウツカイニ
二人,ニニン
コミュニケーションコスト,コミュニケーションコスト
LINEオーディション,ラインオーディション
なにこれ,ナニコレ
教科bot,キョウカボット
学術bot,ガクジュツボット
botまとめ,ボットマトメ
発表者,ハッピョウシャ
人位,ニンイ
衝撃的,ショウゲキテキ
人がいない,ジンガイナイ
分向け,フンムケ
CS研,シーエスケン
研勢,ケンゼイ
人工頭脳,ジンコウズノウ
センター模試,センターモシ
模試英語,モシエイゴ
ITmediaニュース,アイティーメディアニュース
年ぶり,ネンブリ
型落ち,カタオチ
枚刃,マイハ
衝撃的,ショウゲキテキ
衝撃的,ショウゲキテキ
HDPENTAX,エイチディーペンタックス
mmF3,ミリメートルエフスリー
EDDC,イーディーディーシー
DCWR,ディーシーダブリューアール
辞書ファイル,ジショファイル
出力オプション,シュツリョクオプション
ビルド方法,ビルドホウホウ
コンパイル時,コンパイルジ
標準ズーム,ヒョウジュンズーム
想像通り,ソウゾウドオリ
動画撮影,ドウガサツエイ
お布施的,オフセテキ
全天球カメラRICOH THETA,ゼンテンキュウカメラリコーシータ
モデル発表,モデルハッピョウ
動画撮影,ドウガサツエイ
WiFi転送,ワイファイテンソウ
転送高速化,テンソウコウソクカ
これpolymorphism,コレポリモフィズム
polymorphism的,ポリモフィズムテキ
いいんじゃないの,イインジャナイノ
想像以上,ソウゾウイジョウ
借り物競争,カリモノキョウソウ
ツーショット写真,ツーショットシャシン
ツーショット写真,ツーショットシャシン
度撮影,ドサツエイ
国内発売,コクナイハツバイ
ITmediaニュース,アイティーメディアニュース
今週中,コンシュウチュウ
今週末,コンシュウマツ
PFIセミナー,ピーエフアイセミナー
生成語彙論,セイセイゴイロン
人として参加,ヒトトシテサンカ
参加可能,サンカカノウ
可能人数,カノウニンズウ
平日特典,ヘイジツトクテン
キビシイ,キビシイ
読み会,ヨミカイ
マルチスレッド,マルチスレッド
自然言語処理技術,シゼンゲンゴショリギジュツ
情報処理学会東海,ジョウホウショリガッカイトウカイ
東海支部,トウカイシブ
支部主催,シブシュサイ
主催講演会,シュサイコウエンカイ
SlideShare,スライドシェア
Shareさん,シェアサン
帰宅中,キタクチュウ
鉄道話,テツドウバナシ
pythonモジュール,パイソンモジュール
実行時,ジッコウジ
サッパリ分からん,サッパリワカラン
分からんしつらい,ワカランシツライ
目的関数,モクテキカンスウ
最小値,サイショウチ
制約条件,セイヤクジョウケン
範囲外,ハンイガイ
ラグランジュ関数,ラグランジュカンスウ
最小値,サイショウチ
範囲内,ハンイナイ
最小値,サイショウチ
回位,カイイ
フォア側,フォアガワ
HTML5新たなる希望,エイチティーエムエルファイブアラタナルキボウ
tritonjs,トライトンジェイエス
accepted,アクセプトイーディー
edpaper,イーディーペーパー
paper公開,ペーパーコウカイ
ヤリマショウ,ヤリマショウ
ICPC後,アイシーピーシーゴ
企業見学,キギョウケンガク
学生さん向け,ガクセイサンムケ
おちゃらけすぎ,オチャラケスギ
すぎた気,スギタキ
企業見学会,キギョウケンガクカイ
高速稲荷,コウソクイナリ
hyperlapse伏見稲荷大社,ハイパーラプスフシミイナリタイシャ
千本鳥居,センボントリイ
千本鳥居,センボントリイ
km新幹線,キロメートルシンカンセン
autotools,オートツゥールズ
toolsエラー,ツゥールズエラー
んじゃどう,ンジャドウ
じゃどうしよう,ジャドウシヨウ
ネット上,ネットジョウ
既存手法,キソンシュホウ
公開読書,コウカイドクショ
最終的,サイシュウテキ
バニーボーイ,バニーボーイ
バニーボーイ,バニーボーイ
表現学習,ヒョウゲンガクシュウ
学習時代,ガクシュウジダイ
生成語彙論,セイセイゴイロン
語彙論こと,ゴイロンコト
ことはじめ,コトハジメ
はじめon,ハジメオン
SlideShare,スライドシェア
Shareさん,シェアサン
回位,カイイ
1日猛勉強,ツイタチモウベンキョウ
大変久しぶり,タイヘンヒサシブリ
日本酒,ニッポンシュ
MM読了,エムエムドクリョウ
コンサル的,コンサルテキ
MM読了,エムエムドクリョウ
クローラー開発,クローラーカイハツ
開発技法,カイハツギホウ
技法巡回,ギホウジュンカイ
解析機能,カイセキキノウ
運用例,ウンヨウレイ
さそう,サソウ
具体的,グタイテキ
集会みたい,シュウカイミタイ
冷蔵庫内,レイゾウコナイ
内カメラ,ナイカメラ
形態素列,ケイタイソレツ
列パターンマッチ,レツパターンマッチ
SlideShare,スライドシェア
Shareさん,シェアサン
単一マシン,タンイツマシン
以前岡崎,イゼンオカザキ
岡崎さん,オカザキサン
マルチスレッド,マルチスレッド
高速化,コウソクカ
以前Mさん,イゼンエムサン
２限,ニゲン
１０,イチゼロ
０時,ゼロジ
時すぎ,ジスギ
実装本,ジッソウホン
何回,ナンカイ
言語処理,ゲンゴショリ
言語処理,ゲンゴショリ
教師無し,キョウシナシ
無し形態素解析,ナシケイタイソカイセキ
センサーデータ,センサーデータ
一番感動,イチバンカンドウ
作ってみたい,ツクッテミタイ
外出中,ガイシュツチュウ
こと意図,コトイト
歴史的,レキシテキ
政治家,セイジカ
程度問題,テイドモンダイ
両方共,リョウホウドモ
共ダメ,ドモダメ
技術的,ギジュツテキ
検索結果,ケンサクケッカ
prefixkey,プレフィックスキー
PMI行列,コウバイタントウシャシスウギョウレツ
行列分解,ギョウレツブンカイ
分解話,ブンカイバナシ
何かしら等価,ナニカシラトウカ
想定通り,ソウテイドオリ
計算コスト,ケイサンコスト
みんな大変,ミンナタイヘン
大変そう,タイヘンソウ
日本語版開発,ニホンゴバンカイハツ
月食写真,ゲッショクシャシン
ハイパーラプス動画,ハイパーラプスドウガ
の実用,ノジツヨウ
実用化,ジツヨウカ
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
人工知能関連,ジンコウチノウカンレン
今週末,コンシュウマツ
来週PFI,ライシュウピーエフアイ
PFIセミナー,ピーエフアイセミナー
再来週名大,サライシュウメイダイ
言語処理,ゲンゴショリ
今月セミナー,コンゲツセミナー
講演だらけ,コウエンダラケ
screen固有,スクリーンコユウ
screen上,スクリーンジョウ
全角縦棒,ゼンカクタテボウ
モカソフト,モカソフト
ミカドコーヒー,ミカドコーヒー
コーヒー軽井沢,コーヒーカルイザワ
軽井沢店,カルイザワテン
教会周辺,キョウカイシュウヘン
hyperlapse軽井沢高原教会,ハイパーラプスカルイザワコウゲンキョウカイ
中軽井沢周辺,ナカカルイザワシュウヘン
年振り,ネンフリ
晴れたー,ハレレター
れたー軽井沢高原教会,レターカルイザワコウゲンキョウカイ
年振り,ネンフリ
新井先生,アライセンセイ
自分達,ジブンタチ
プライマリキー,プライマリキー
冗長化,ジョウチョウカ
速達プロトコル,ソクタツプロトコル
長尾理論,ナガオリロン
タブ幅,タブハバ
byon,ビーワイオン
時代錯誤的,ジダイサクゴテキ
マジで本籍地,マジデホンセキチ
本籍地何,ホンセキチナニ
東京都千代田区千代田１,トウキョウトチヨダクチヨダイチ
直感的,チョッカンテキ
ノイマン型,ノイマンガタ
年目,ネンメ
ビール情報,ビールジョウホウ
来週頭,ライシュウトウ
P2Pネットワーク,ピアツーピアネットワーク
ネットワーク自体,ネットワークジタイ
pfiseminar,ピーエフアイセミナー
Winny開発者,ウィニーカイハツシャ
開発者逮捕,カイハツシャタイホ
逮捕事件,タイホジケン
MapReduce論文,マップリデュースロンブン
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
コマンドライン引数,コマンドラインヒキスウ
一番上,イチバンジョウ
単語分割,タンゴブンカツ
名詞連続,メイシレンゾク
連続取り,レンゾクトリ
単語カウント,タンゴカウント
最小粒度,サイショウリュウド
情報間,ジョウホウカン
局所的,キョクショテキ
大域的,タイイキテキ
特異的,トクイテキ
言語データ,ゲンゴデータ
自己革新,ジコカクシン
情報提示,ジョウホウテイジ
最近ダイヤテック,サイキンダイヤテック
販売代理,ハンバイダイリ
USB接続,ユーエスビーセツゾク
キャップ式,キャップシキ
アウトプット力,アウトプットリョク
最近文書,サイキンブンショ
文書力,ブンショリョク
定期的,テイキテキ
大判レンズ,オオバンレンズ
時以来,トキイライ
3Dプリンタ製,スリーディープリンタセイ
動画対応,ドウガタイオウ
インターバル撮影,インターバルサツエイ
息子氏,ムスコシ
鯛飯,タイメシ
NLP若手,エヌエルピーワカテ
会合宿,カイゴウヤド
ネタ今度,ネタコンド
ころザリガニ,コロザリガニ
冷凍肉まん,レイトウニクマン
大丈夫みたい,ダイジョウブミタイ
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
お互いに足,オタガイニアシ
pfiseminar,ピーエフアイセミナー
夏季インターン,カキインターン
発表会,ハッピョウカイ
階層DQN,カイソウドキュン
pfiseminar,ピーエフアイセミナー
個性的,コセイテキ
UI勉強会,ユーアイベンキョウカイ
Androidプログラム,アンドロイドプログラム
皆さん言語,ミナサンゲンゴ
言語処理,ゲンゴショリ
PFIセミナー,ピーエフアイセミナー
大野さん,オオノサン
pfiseminar,ピーエフアイセミナー
研究テーマ,ケンキュウテーマ
NLP興味,エヌエルピーキョウミ
花束贈呈,ハナタバゾウテイ
帰宅成功,キタクセイコウ
絶賛募集中,ゼッサンボシュウチュウ
コマンドラインツール,コマンドラインツール
菊池さん,キクチサン
芸術性,ゲイジュツセイ
自然言語処理的,シゼンゲンゴショリテキ
の誰,ノダレ
研究用,ケンキュウヨウ
メール来,メールライ
是非公開,ゼヒコウカイ
企業系,キギョウケイ
三浦海岸,ミウラカイガン
先週ラバー,センシュウラバー
んじゃなくて,ンジャナクテ
ファンクションキー埃,ファンクションキーホコリ
なにそれ,ナニソレ
ask.fm登録,アスクエフエムトウロク
無限鼎泰豊,ムゲンディンタイフォン
分析サービス,ブンセキサービス
APS-C勢,エーピーエスシーゼイ
APS-Cメイン,エーピーエスシーメイン
クラス関係,クラスカンケイ
年ぶり,ネンブリ
ハイエンド一,ハイエンドイチ
一眼,イチメ
高級デジカメ,コウキュウデジカメ
デジカメG7,デジカメジーセブン
G7X,ジーセブンエックス
Photokina,フォートキナー
謎アイテム,ナゾアイテム
国際卓球,コクサイタッキュウ
年齢感,ネンレイカン
再起下降,サイキカコウ
下降パーサー,カコウパーサー
分野特,ブンヤトク
特化,トクカ
卓球率,タッキュウリツ
率高,リツダカ
言語解析,ゲンゴカイセキ
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
アプリ次第,アプリシダイ
誰かが革新,ダレカガカクシン
革新的,カクシンテキ
年生向け,ネンセイムケ
レンズ構成,レンズコウセイ
今号,イマゴウ
掲載論文,ケイサイロンブン
全部英語,ゼンブエイゴ
処理段階,ショリダンカイ
これ無理ゲー,コレムリゲー
大江戸タワー,オオエドタワー
共産蒋介石,キョウサンショウカイセキ
lifehacker,ライフハックイーアール
erjapan,イーアールジャパン
japanさん,ジャパンサン
テストエンジニア,テストエンジニア
テスト計画,テストケイカク
テキスト解析,テキストカイセキ
言語内,ゲンゴナイ
超絶スーパー,チョウゼツスーパー
スーパーチュートリアル,スーパーチュートリアル
チュートリアル大会,チュートリアルタイカイ
得感,トクカン
勝ち組感,カチグミカン
とき謎,トキナゾ
みんなハッカソン,ミンナハッカソン
イベント情報,イベントジョウホウ
NLP的,エヌエルピーテキ
自然文,シゼンブン
文生成,ブンセイセイ
発話生成,ハツワセイセイ
芝公園ビール,シバコウエンビール
大変久しぶり,タイヘンヒサシブリ
Cherry軸,チェリージク
軸キーボード,ジクキーボード
キーボード用,キーボードヨウ
静音リング,セイオンリング
交換用,コウカンヨウ
用キートップ,ヨウキートップ
若者沢山,ワカモノダクサン
みんな授業,ミンナジュギョウ
駒場東京大学,コマバトウキョウダイガク
東京大学駒場キャンパス,トウキョウダイガクコマバキャンパス
DIY女子特集,ディーアイワイジョシトクシュウ
オンライン性,オンラインセイ
単一障害,タンイツショウガイ
障害点,ショウガイテン
収束性,シュウソクセイ
is仏教,アイエスブッキョウ
半年以上,ハントシイジョウ
ネットワークプログラム,ネットワークプログラム
男だらけ,オトコダラケ
そうめん大会,ソウメンタイカイ
結婚相手,ケッコンアイテ
研究テーマ,ケンキュウテーマ
様に世界中,サマニセカイジュウ
人が同様,ジンガドウヨウ
自動追尾,ジドウツイビ
自律飛行,ジリツヒコウ
飛行型,ヒコウガタ
型空撮,ガタクウサツ
空撮ドローン,クウサツドローン
内容次第,ナイヨウシダイ
んすか,ンスカ
デジタル回路なん,デジタルカイロナン
やな予感,ヤナヨカン
モバイル機器,モバイルキキ
8年前,ハチネンマエ
ノートPC,ノートピーシー
画像URL,ガゾウユーアールエル
スマホ時代,スマホジダイ
中村佑介氏,ナカムラユウスケシ
イラスト講座,イラストコウザ
優先順位編,ユウセンジュンイヘン
Togetterまとめ,トゥギャッターマトメ
jpさん,ジェーピーサン
懇親会,コンシンカイ
時期ベルギービール,ジキベルギービール
ベルギービール祭,ベルギービールサイ
祭六本木ヒルズアリーナ,サイロッポンギヒルズアリーナ
9月開催,クガツカイサイ
こないだあれ,コナイダアレ
デバッグ大変,デバッグタイヘン
サッカープレイヤー,サッカープレイヤー
プレイヤー向け,プレイヤームケ
jpさん,ジェーピーサン
箇所位,カショイ
秒間,ビョウカン
フレーム人手,フレームヒトデ
スポーツ科学センター,スポーツカガクセンター
webdesign,ウェブデザイン
大変そう,タイヘンソウ
教育サービス,キョウイクサービス
サービスみたい,サービスミタイ
安定感,アンテイカン
lightroom以外,ライトルームイガイ
万円,マンエン
円位,エンイ
十中八九末尾再帰,ジュッチュウハックマツビサイキ
末尾再帰最適化,マツビサイキサイテキカ
説明聞けば聞くほど,セツメイキケバキクホド
全部OCaml,ゼンブオーキャムル
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
写真教室,シャシンキョウシツ
SNS上,エスエヌエスジョウ
特化,トクカ
週間位,シュウカンイ
位立て続け,イタテツヅケ
口内炎,コウナイエン
3つ目,ミッツメ
学会系,ガッカイケイ
系仕事,ケイシゴト
お参り富岡八幡宮,オマイリトミオカハチマングウ
人人人人,ヒトビトヒトビト
人人人人,ヒトビトヒトビト
人人人,ヒトビトジン
有明スポーツセンター行こう,アリアケスポーツセンターギョウコウ
斜め上,ナナメジョウ
機械学習勉強会,キカイガクシュウベンキョウカイ
勉強会的,ベンキョウカイテキ
モバイル向け,モバイルムケ
向けサイト,ムケサイト
UIデザイン,ユーアイデザイン
のこれ,ノコレ
経営資産,ケイエイシサン
はがき離れ,ハガキバナレ
一人,イチニン
mapアプリ,マップアプリ
CS研,シーエスケン
吉田さん,ヨシダサン
安すぎ,ヤススギ
メインメモリ,メインメモリ
pfiseminar,ピーエフアイセミナー
んすか,ンスカ
にもうまい,ニモウマイ
数列中,スウレツチュウ
窓幅,マドハバ
幅中,ハバチュウ
最大値,サイダイチ
最大値,サイダイチ
ニシヤマブランド,ニシヤマブランド
文房具屋,ブンボウグヤ
PLフィルター,ピーエルフィルター
subcommand,サブスクリプトコマンド
commandみたい,コマンドミタイ
拡張みたい,カクチョウミタイ
万華鏡カメラ,マンゲキョウカメラ
万華鏡カメラ,マンゲキョウカメラ
値段設定,ネダンセッテイ
エアコンみたい,エアコンミタイ
内部state,ナイブステート
時間変化,ジカンヘンカ
行動基準全部,コウドウキジュンゼンブ
優位点,ユウイテン
これハード,コレハード
pcファイル,ピーシーファイル
花火中止,ハナビチュウシ
東京湾花火大会,トウキョウワンハナビタイカイ
荒天予想,コウテンヨソウ
ため中止,タメチュウシ
スポニチSponichi Annex,スポニチスポニチアネックス
Sponichi Annex芸能,スポニチアネックスゲイノウ
年台,ネンダイ
最近の,サイキンノ
部分的,ブブンテキ
スリープ状態,スリープジョウタイ
１対,イチタイ
対多,タイタ
単語アライメント,タンゴアライメント
用語ぜんぜん,ヨウゴゼンゼン
ぜんぜん分からん,ゼンゼンワカラン
温度差,オンドサ
イベント定員,イベントテイイン
抽選制,チュウセンセイ
制機能,セイキノウ
写真専用,シャシンセンヨウ
専用ブログサイト,センヨウブログサイト
ブログサイトみたい,ブログサイトミタイ
1つ下,ヒトツカ
下あたり,カアタリ
年前,ネンマエ
写真サイト,シャシンサイト
取説ダウンロード,トリセツダウンロード
電話越し,デンワゴシ
ネット環境,ネットカンキョウ
環境セットアップ,カンキョウセットアップ
梅入り,ウメイリ
入りパウンドケーキ,イリパウンドケーキ
想像以上,ソウゾウイジョウ
人工知能研究,ジンコウチノウケンキュウ
山岳ステージ,サンガクステージ
ことそのもの,コトソノモノ
パステウ,パステウ
国際情報,コクサイジョウホウ
情報五輪,ジョウホウゴリン
３年,サンネン
高谷さん,タカヤサン
オクトーバーフェスト今週,オクトーバーフェストコンシュウ
今週末,コンシュウマツ
年前,ネンマエ
大変あれ,タイヘンアレ
クラス内部,クラスナイブ
テスト用,テストヨウ
依存性,イゾンセイ
PowerPC回帰,パワーピーシーカイキ
全部mac,ゼンブマック
全面提携,ゼンメンテイケイ
エンタープライズ分野,エンタープライズブンヤ
jptechcrunch,ジェイピーテッククランチ
techcrunchさん,テッククランチサン
年前,ネンマエ
京コンピュータ,キョウコンピュータ
読み会,ヨミカイ
jpさん,ジェーピーサン
yahooニュース,ヤフーニュース
パッケージ管理,パッケージカンリ
懇親会,コンシンカイ
みんな何かしら,ミンナナニカシラ
ACL読み,エーシーエルヨミ
読み会,ヨミカイ
twitter上,ツイッタージョウ
単語分割,タンゴブンカツ
文字単位,モジタンイ
単語単位,タンゴタンイ
目的関数,モクテキカンスウ
双対分解,ソウツイブンカイ
双対分解,ソウツイブンカイ
ベストペーパー,ベストペーパー
翻訳用,ホンヤクヨウ
source言語,ソースゲンゴ
翻訳モデル,ホンヤクモデル
１つ目,ヒトツメ
２つ目,フタツメ
文脈以外,ブンミャクイガイ
高瀬さん,タカセサン
全体的,ゼンタイテキ
分散表現,ブンサンヒョウゲン
なにこれ,ナニコレ
問題文中,モンダイブンチュウ
制動距離,セイドウキョリ
背景知識,ハイケイチシキ
パラレルコーパス,パラレルコーパス
単語ベクトル,タンゴベクトル
対訳関係,タイヤクカンケイ
文対,ブンタイ
対中,タイチュウ
言語横断,ゲンゴオウダン
単語ベクトル,タンゴベクトル
周辺単語,シュウヘンタンゴ
持橋,ジキョウ
橋さん,キョウサン
固有表現,コユウヒョウゲン
表記揺,ヒョウキユラ
段階的,ダンカイテキ
編集操作,ヘンシュウソウサ
確率モデル,カクリツモデル
能地さん,ノチサン
terminal,テルミナリットル
表層的,ヒョウソウテキ
ACL読み,エーシーエルヨミ
読み会,ヨミカイ
tomake,トゥメイク
withvectors,ウィズベクターズ
あれパンク,アレパンク
の好き,ノスキ
今週末,コンシュウマツ
ツール・ド・フランス,ツールドフランス
サイズ計算,サイズケイサン
ツール観,ツールカン
ツール・ド・フランス,ツールドフランス
あほい,アホイ
%CPU,パーセントシーピーユー
４倍,ヨンバイ
倍程度,バイテイド
プレートノーテーション,プレートノーテーション
Japanesebig,ジャパニーズビッグ
here’s,ハーエス
e’swhy,エスホワイ
whythe,ホワイザ
thefounder,ザファウンダー
5月6月,ゴガツロクガツ
２乗,ニジョウ
乗問題,ジョウモンダイ
ビニールハウス話,ビニールハウスバナシ
コンパイルオプション,コンパイルオプション
専用命令,センヨウメイレイ
全部sse,ゼンブエスエスイー
なんなんだろう,ナンナンダロウ
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
発表者,ハッピョウシャ
読み会,ヨミカイ
読み会,ヨミカイ
まじかー,マジカー
基礎研究員,キソケンキュウイン
収益部門,シュウエキブモン
人配転,ニンハイテン
読み会,ヨミカイ
倍速,バイソク
速位,ソクイ
コード辺,コードアタリ
内積計算,ナイセキケイサン
文法統一,ブンポウトウイツ
人が勝手,ジンガカッテ
明示的,メイジテキ
頻度語,ヒンドゴ
頻度語,ヒンドゴ
結局どっち,ケッキョクドッチ
Swiftコンパイラ,スィフトコンパイラ
評価方法,ヒョウカホウホウ
vagrantディレクトリ,ヴェイグラントディレクトリ
大変ため,タイヘンタメ
回Swift,カイスィフト
Swift勉強会,スィフトベンキョウカイ
LT会,エルティカイ
paragraph,ピーエーアールアグラフ
agraphvector,アグラフベクター
今日一,キョウイチ
一番,イチバン
こないだ標準,コナイダヒョウジュン
標準ズーム,ヒョウジュンズーム
ダミーサーバ,ダミーサーバ
pficommon,ピーエフアイコモン
シリアライザ,シリアライザ
iOS開発者,アイオーエスカイハツシャ
開発者アカウント,カイハツシャアカウント
問題設定,モンダイセッテイ
静的検証,セイテキケンショウ
モデル化,モデルカ
ことないす,コトナイス
特徴抽出,トクチョウチュウシュツ
分野適用,ブンヤテキヨウ
一番重要,イチバンジュウヨウ
交差検定,コウサケンテイ
一日,イチニチ
交差検定,コウサケンテイ
交差検定,コウサケンテイ
マッチング行列,マッチングギョウレツ
ロジスティック回帰モデル,ロジスティックカイキモデル
ミニバッチ,ミニバッチ
オンライン学習,オンラインガクシュウ
さそう,サソウ
テストby,テストビーワイ
SlideShare,スライドシェア
Shareさん,シェアサン
分位,フンイ
枚位,マイイ
表現力,ヒョウゲンリョク
表現形式,ヒョウゲンケイシキ
pfiseminar,ピーエフアイセミナー
意味表現,イミヒョウゲン
表現形式,ヒョウゲンケイシキ
評価方法,ヒョウカホウホウ
評価方法,ヒョウカホウホウ
ため自然,タメシゼン
自然文,シゼンブン
表現方法,ヒョウゲンホウホウ
自然文,シゼンブン
評価方法,ヒョウカホウホウ
評価方法,ヒョウカホウホウ
pfiseminar,ピーエフアイセミナー
一般ウケ,イッパンウケ
pfiseminar,ピーエフアイセミナー
能地さん,ノチサン
pfiseminar,ピーエフアイセミナー
iOS開発者,アイオーエスカイハツシャ
開発者アカウント,カイハツシャアカウント
大人力,オトナリョク
アカウント発行,アカウントハッコウ
パパSwift,パパスィフト
開発者用,カイハツシャヨウ
用アカウント,ヨウアカウント
何秒,ナンビョウ
自動ベクトル化,ジドウベクトルカ
具体的,グタイテキ
楽そう,ラクソウ
一日,イチニチ
鮨一新,スシイッシン
テキトー,テキトー
大葉でか,オオバデカ
でかすぎ,デカスギ
単調増加,タンチョウゾウカ
脳ミソ全力,ノウミソゼンリョク
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
2000年前後,ニセンネンゼンゴ
コンピュータ科学,コンピュータカガク
花型,ハナガタ
