赤坂レッドシアター,アカサカレッドシアター
word2vec最初,ワードツーベックサイショ
クラス分類,クラスブンルイ
分類問題,ブンルイモンダイ
ラベル側,ラベルガワ
梶原砲,カジハラホウ
医療情報,イリョウジョウホウ
基盤づくり,キバンヅクリ
バランス非常,バランスヒジョウ
サンプルコード,サンプルコード
一カテゴリ,イチカテゴリ
東北大学川内,トウホクダイガクセンダイ
川内キャンパス,センダイキャンパス
ドイツどうし,ドイツドウシ
パエリア完璧,パエリアカンペキ
イギリス？？？,イギリスンンン
fab化,ファブカ
言語処理学会年次,ゲンゴショリガッカイネンジ
年次大会,ネンジタイカイ
予稿集,ヨコウシュウ
テキスト化,テキストカ
想定ターゲット,ソウテイターゲット
最低バージョン,サイテイバージョン
リリース作業,リリースサギョウ
デストラクタ周り,デストラクタマワリ
方わからん,カタワカラン
久々スキー,ヒサビサスキー
２回,ニカイ
回目,カイメ
今度訪問,コンドホウモン
最終的,サイシュウテキ
結論的,ケツロンテキ
優先的,ユウセンテキ
最終的,サイシュウテキ
データ分析,データブンセキ
分析グループ,ブンセキグループ
チームマネジメント,チームマネジメント
マネジメント変遷,マネジメントヘンセン
拡張モジュール,カクチョウモジュール
CUDAもくもく会,クーダモクモクカイ
ハードリンク問題,ハードリンクモンダイ
nvidia公式,エヌビディアコウシキ
公式ami,コウシキアミ
ssh.,エスエスエイチ
amazonlinux,アマゾンリナックス
rsync失敗,アールシンクシッパイ
Docker上,ドッカージョウ
ec2上,イーシーツージョウ
nvidia公式,エヌビディアコウシキ
公式AMI,コウシキアミ
インストール周り,インストールマワリ
周り難し,マワリナンシ
難しすぎ,ナンシスギ
3月発表,サンガツハッピョウ
講演4つ,コウエンヨッツ
締め切り3つ,シメキリミッツ
ビルド後,ビルドゴ
ビルド時,ビルドジ
産総研人工知能,サンソウケンジンコウチノウ
人工知能センター,ジンコウチノウセンター
？？？python,ンンンパイソン
直接インストール,チョクセツインストール
インストール時,インストールジ
nvidiaドライバ,エヌビディアドライバ
作業ディレクトリ,サギョウディレクトリ
初歩的,ショホテキ
指定無し,シテイナシ
正式リリース,セイシキリリース
アップロード失敗,アップロードシッパイ
Web周辺,Webシュウヘン
応用寄り,オウヨウヨリ
評価用,ヒョウカヨウ
用データセット,ヨウデータセット
定量的,テイリョウテキ
評価指標,ヒョウカシヒョウ
評価指標,ヒョウカシヒョウ
学習ベース,ガクシュウベース
評価陣営,ヒョウカジンエイ
手法陣営,シュホウジンエイ
イベント的,イベントテキ
人上限,ニンジョウゲン
計算過程,ケイサンカテイ
抽象化,チュウショウカ
並列化みたい,ヘイレツカミタイ
結局そっち,ケッキョクソッチ
今それ,イマソレ
CSVファイル,シーエスブイファイル
学習前,ガクシュウマエ
直接代入,チョクセツダイニュウ
辺参照,アタリサンショウ
1月中頃,イチガツナカゴロ
go製,ゴーセイ
さそう,サソウ
マルチ構成,マルチコウセイ
組み合わせフィルター,クミアワセフィルター
go製,ゴーセイ
全部説明,ゼンブセツメイ
みんなPR,ミンナピーアール
開発イベント,カイハツイベント
イベント的,イベントテキ
ubuntu上,ウブントゥジョウ
CUDA環境,クーダカンキョウ
環境構築,カンキョウコウチク
ec2弱,イーシーツージャク
開発イベント,カイハツイベント
詳細相談,ショウサイソウダン
パッチ書き,パッチガキ
書きたい人,ガキタイジン
組織名正規化,ソシキメイセイキカ
正規化規則,セイキカキソク
自動化,ジドウカ
倍速,バイソク
protobu,プロトコーポレーションビーユー
buf3,ビーユーエフスリー
f3ブランチ,エフスリーブランチ
人位,ニンイ
倍時間,バイジカン
links.l,リンクエスエル
s.lstm,エスエルエスティーエム
方とお話,ホウトオハナシ
両方実装,リョウホウジッソウ
全部別々,ゼンブベツベツ
これ相当,コレソウトウ
頃モンテカルロ,コロモンテカルロ
モンテカルロ碁,モンテカルロゴ
一捻り,イチヒネリ
捻りなんだろう,ヒネリナンダロウ
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
暗黒面,アンコクメン
pfiseminar,ピーエフアイセミナー
記号列,キゴウレツ
列集合,レツシュウゴウ
スタック操作,スタックソウサ
１日,イチニチ
用自撮り棒,ヨウジドリボウ
リアルエピステーメー,リアルエピステーメー
エピステーメーさん,エピステーメーサン
並列化,ヘイレツカ
並列化,ヘイレツカ
結局X,ケッキョクエックス
CUDAアンインストール,クーダアンインストール
普通に復活,フツウニフッカツ
マクドナルドさん,マクドナルドサン
英語論文,エイゴロンブン
論文執筆,ロンブンシッピツ
必修授業,ヒッシュウジュギョウ
辻井研,ツジイケン
博士学生,ハカセガクセイ
英語添削,エイゴテンサク
博士学生,ハカセガクセイ
データ沢山,データダクサン
自動添削,ジドウテンサク
添削機,テンサクキ
読み会,ヨミカイ
SlideShare,スライドシェア
Shareさん,シェアサン
相乗りタクシー,アイノリタクシー
GPUインスタンス,ジーピーユーインスタンス
１行,イチコウ
公開集中,コウカイシュウチュウ
集中開発,シュウチュウカイハツ
開発フロー,カイハツフロー
方募集,カタボシュウ
公開集中,コウカイシュウチュウ
集中開発,シュウチュウカイハツ
最近話題,サイキンワダイ
系NLP,ケイエヌエルピー
tegra上,テグラジョウ
側の,ガワノ
祭り感,マツリカン
感東京,カントウキョウ
パス中,パスチュウ
昨日flake,キノウフレーク
駅周辺,エキシュウヘン
一番簡単,イチバンカンタン
一度,イチド
開発セット,カイハツセット
精度確認,セイドカクニン
確認みたい,カクニンミタイ
ミニバッチ,ミニバッチ
バッチ化,バッチカ
速度的,ソクドテキ
牡蠣ウマー,カキウマー
文ID,ブンアイディー
ガン無視,ガンムシ
2日位,フツカイ
テストかけ,テストカケ
得居,トクキョ
居さん,キョサン
奥田さん,オクダサン
native実装,ネイティブジッソウ
サイズ上限,サイズジョウゲン
MB決め,エムビーキメ
決め打ち,キメウチ
行列演算,ギョウレツエンザン
コンテンツ力,コンテンツリョク
メモリプール,メモリプール
解析サーバー,カイセキサーバー
文字おき,モジオキ
長い依存,ナガイイゾン
依存関係,イゾンカンケイ
規則性,キソクセイ
機能by,キノウビーワイ
SlideShare,スライドシェア
Shareさん,シェアサン
インストール失敗,インストールシッパイ
modelzoo,モデルズー
修正版,シュウセイバン
数段,スウダン
段高速,ダンコウソク
なにこれ,ナニコレ
これw,コレワット
CPU実験,シーピーユージッケン
呼び出し失敗,ヨビダシシッパイ
アップデートは出,アップデートハシュツ
は出きると,ハシュツキルト
ubuntu添付,ウブントゥテンプ
最大オブジェクト,サイダイオブジェクト
オブジェクトサイズ,オブジェクトサイズ
ホスト側,ホストガワ
側の,ガワノ
ピザ標準,ピザヒョウジュン
標準わからん,ヒョウジュンワカラン
わからんの,ワカランノ
時間以上,ジカンイジョウ
二子玉,フタゴダマ
こと確認,コトカクニン
modelzoo,モデルズー
zoo対応,ズータイオウ
protoファイル,プロトコーポレーションファイル
screen上,スクリーンジョウ
バイト文字,バイトモジ
modelzoo,モデルズー
purepython,ピュアパイソン
python実装,パイソンジッソウ
GPUインスタンス,ジーピーユーインスタンス
レンズ出して,レンズダシテ
突発的,トッパツテキ
継続的,ケイゾクテキ
人材雇用,ジンザイコヨウ
時間ぶっ続け,ジカンブッツヅケ
自然言語処理関連,シゼンゲンゴショリカンレン
バグる問題,バグルモンダイ
type(),タイプカッコ
回避策,カイヒサク
パラメタごと,パラメタゴト
技術的,ギジュツテキ
NHKニュース,エヌエイチケイニュース
Mac OSX,マックオーエスエックス
byon,ビーワイオン
出力サンプル,シュツリョクサンプル
向かな,ムカイカナ
かなそう,カナソウ
ロボ展,ロボテン
目的関数,モクテキカンスウ
メモリ領域,メモリリョウイキ
計算時間,ケイサンジカン
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
pfiseminar,ピーエフアイセミナー
開発アルバイト,カイハツアルバイト
通そう,ドオリソウ
難易度高,ナンイドダカ
タスク依存,タスクイゾン
TravisCI,トラビスシーアイ
OSXサポート,オーエステンサポート
みんな手動,ミンナシュドウ
最終的,サイシュウテキ
GPUインスタンス,ジーピーユーインスタンス
byon,ビーワイオン
レーティング高,レーティングダカ
高すぎ,ダカスギ
秘書さん,ヒショサン
soファイル,ソーファイル
環境ごと,カンキョウゴト
パッケージング周り,パッケージングマワリ
ライブラリ群,ライブラリグン
環境依存,カンキョウイゾン
調査中,チョウサチュウ
静的ビルド,セイテキビルド
エコシステム全体,エコシステムゼンタイ
パッケージ管理,パッケージカンリ
インストール周り,インストールマワリ
想像以上,ソウゾウイジョウ
本数自体,ホンスウジタイ
インストールパス,インストールパス
パスまとめ,パスマトメ
インストールパス,インストールパス
パスまとめ,パスマトメ
まとめby,マトメビーワイ
byon,ビーワイオン
nVidiaGPU,エヌビディアジーピーユー
CUDAインストール,クーダインストール
依存関係,イゾンカンケイ
実行時,ジッコウジ
実行時,ジッコウジ
ビルド時,ビルドジ
そちら側,ソチラガワ
byon,ビーワイオン
つくば行き,ツクバイキ
環境変数引き継,カンキョウヘンスウヒキツギ
既存インタプリタ,キソンインタプリタ
実行トレース,ジッコウトレース
本質的,ホンシツテキ
静的解析,セイテキカイセキ
十分機能,ジュウブンキノウ
計算グラフ,ケイサングラフ
具体的,グタイテキ
実行ログ,ジッコウログ
参照関係,サンショウカンケイ
Pythonインタプリタ,パイソンインタプリタ
インタプリタ中,インタプリタチュウ
計算グラフ,ケイサングラフ
制御構文,セイギョコウブン
変数中,ヘンスウチュウ
変数参照,ヘンスウサンショウ
参照関係,サンショウカンケイ
最終的,サイシュウテキ
リリース失敗,リリースシッパイ
発表資料,ハッピョウシリョウ
さすぎ,サスギ
ところ対応,トコロタイオウ
後Mac,ノチマック
我々以外,ワレワレイガイ
前回来,ゼンカイライ
来た人,ライタニン
それ以外,ソレイガイ
前回リリース,ゼンカイリリース
リリース延期,リリースエンキ
あと1月,アトイチガツ
windows用,ウィンドウズヨウ
バイナリ配布,バイナリハイフ
手動JIT,シュドウジット
実行時,ジッコウジ
インストール時,インストールジ
環境依存,カンキョウイゾン
直接so,チョクセツソウ
人が激増,ジンガゲキゾウ
library中,ライブラリーチュウ
時間以上,ジカンイジョウ
インストール周り,インストールマワリ
悪すぎ,アクスギ
ディレクトリ構成,ディレクトリコウセイ
chainer,チェインイーアール
githubリポジトリ,ギットハブリポジトリ
対応バージョン,タイオウバージョン
最適化欲,サイテキカヨク
同期関数,ドウキカンスウ
実行時間,ジッコウジカン
有休BBQ,ユウキュウバーベキュー
帯域確保,タイイキカクホ
ビット長短,ビットチョウタン
長短い型,チョウタンイガタ
実行時間,ジッコウジカン
初期値,ショキチ
倍速,バイソク
速位,ソクイ
内部的,ナイブテキ
内部仕様,ナイブシヨウ
設計段階,セッケイダンカイ
パラメタ付き,パラメタツキ
付き関数,ツキカンスウ
大変久しぶり,タイヘンヒサシブリ
準備大変,ジュンビタイヘン
乾研,イヌイケン
ミニバッチ,ミニバッチ
バッチ化,バッチカ
東北大学大学院,トウホクダイガクダイガクイン
コマ講義,コマコウギ
年前,ネンマエ
word2vec系,ワードツーベックケイ
リリース直後,リリースチョクゴ
プログラム実行,プログラムジッコウ
ノウハウ化,ノウハウカ
開発用,カイハツヨウ
Docker環境,ドッカーカンキョウ
byon,ビーワイオン
JIT最適化,ジットサイテキカ
Pythonセマンティック,パイソンセマンティック
計算グラフ,ケイサングラフ
データ転送帯域,データテンソウタイイキ
十分確保,ジュウブンカクホ
ノード内,ノードナイ
自動最適化,ジドウサイテキカ
文長,ブンチョウ
文長,ブンチョウ
対象データ,タイショウデータ
最小サイズ,サイショウサイズ
世の中スピード,ヨノナカスピード
Googleコード,グーグルコード
コード規約,コードキヤク
ファイル名,ファイルメイ
アルファベット順,アルファベットジュン
どっから,ドッカラ
C++実装,シープラスプラスジッソウ
JIT最適化,ジットサイテキカ
最適化コンパイラ,サイテキカコンパイラ
コンパイラみたい,コンパイラミタイ
プロコンパイラ,プロコンパイラ
コンパイラ屋,コンパイラヤ
感動的,カンドウテキ
銀W杯,ギンワールドカップ
日本人初,ニッポンジンハツ
2015年11月1日,ニセンジュウゴネンジュウイチガツツイタチ
実用上,ジツヨウジョウ
分岐コード,ブンキコード
カレーグランプリ,カレーグランプリ
深層学習,シンソウガクシュウ
学習本,ガクシュウホン
配列操作,ハイレツソウサ
操作系,ソウサケイ
IntelCPU,インテルシーピーユー
nVidiaGPU,エヌビディアジーピーユー
違いみたい,チガイミタイ
NLP若手,エヌエルピーワカテ
毎年日々,マイトシヒビ
日々改善,ヒビカイゼン
本近く,ホンチカク
得感,トクカン
読み会,ヨミカイ
短文要約,タンブンヨウヤク
数単語,スウタンゴ
入力文,ニュウリョクブン
パラメタ行列,パラメタギョウレツ
行列P,ギョウレツピー
結合した値,ケツゴウシタネ
入力単語,ニュウリョクタンゴ
トピック数,トピックスウ
評価指標,ヒョウカシヒョウ
分類器,ブンルイキ
アテンションつき,アテンションツキ
decoder翻訳,デコーダホンヤク
選択的,センタクテキ
ローカルアテンション,ローカルアテンション
ローカルアテンション,ローカルアテンション
評価方法,ヒョウカホウホウ
網羅的,モウラテキ
ベクトル獲得,ベクトルカクトク
獲得手法,カクトクシュホウ
