jpさん,ジェーピーサン
withDeep,ウィズディープ
Researchat,リサーチアット
atFacebook,アットフェイスブック
Modelfor,モデルフォー
forAbstract,フォーアブストラクト
Modelfor,モデルフォー
forAbstract,フォーアブストラクト
Modelfor,モデルフォー
forAbstract,フォーアブストラクト
回データマイニング,カイデータマイニング
分析基盤,ブンセキキバン
基盤祭り,キバンマツリ
日本交通会長,ニホンコウツウカイチョウ
会長川鍋,カイチョウカワナベ
川鍋さん,カワナベサン
さん達,サンタチ
会場参加者,カイジョウサンカシャ
バックグラウンド一覧,バックグラウンドイチラン
回データマイニング,カイデータマイニング
分析基盤,ブンセキキバン
基盤祭り,キバンマツリ
進行方針,シンコウホウシン
時開始,ジカイシ
回データマイニング,カイデータマイニング
分析基盤,ブンセキキバン
基盤祭り,キバンマツリ
渋谷SmartNews,シブヤスマートニュース
ボランティア集合,ボランティアシュウゴウ
ボランティア参加,ボランティアサンカ
一緒に先,イッショニサキ
回開催,カイカイサイ
開催日,カイサイビ
回データマイニング,カイデータマイニング
渋谷SmartNews,シブヤスマートニュース
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
先日紹介,センジツショウカイ
binarynet,バイナリエヌイーティー
chainer,チェインイーアール
回データマイニング,カイデータマイニング
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
実名アカウント,ジツメイアカウント
参加登録,サンカトウロク
登録ページ,トウロクページ
回データマイニング,カイデータマイニング
分析基盤,ブンセキキバン
基盤祭り,キバンマツリ
会場参加,カイジョウサンカ
参加募集,サンカボシュウ
先着順,センチャクジュン
内容詳細,ナイヨウショウサイ
二値,ニチ
値化,チカ
binarynet,バイナリエヌイーティー
バッチ正則化,バッチセイソクカ
活性値,カッセイチ
二値,ニチ
計算コスト,ケイサンコスト
特殊ハード,トクシュハード
体験提供,タイケンテイキョウ
日本交通会長,ニホンコウツウカイチョウ
会長川鍋,カイチョウカワナベ
川鍋さん,カワナベサン
さん達,サンタチ
人上限,ニンジョウゲン
forDeep,フォーディープ
分析基盤,ブンセキキバン
基盤セッション,キバンセッション
規模分散,キボブンサン
分散処理,ブンサンショリ
処理基盤,ショリキバン
分析基盤,ブンセキキバン
規模機械学習,キボキカイガクシュウ
深層学習,シンソウガクシュウ
学習活用,ガクシュウカツヨウ
サービス開発,サービスカイハツ
Togetterまとめ,トゥギャッターマトメ
withSpark,ウィズスパーク
Sparkand,スパークアンド
andTensorFlow,アンドテンソーフロー
AIhackathon,アイハッカソン
デモコード,デモコード
アクセス可,アクセスカ
後一,ノチイチ
一週間,イチシュウカン
週間後,シュウカンゴ
Machines,マッハアイネス
データサービス,データサービス
規模機械学習,キボキカイガクシュウ
機械学習活用,キカイガクシュウカツヨウ
サービス開発,サービスカイハツ
活動内容,カツドウナイヨウ
資料公開,シリョウコウカイ
等身大ハッカドール,トウシンダイハッカドール
セッション開始,セッションカイシ
闇入門,ヤミニュウモン
論文，,ロンブン，
手予測,テヨソク
万回,マンカイ
回以上,カイイジョウ
以上自己,イジョウジコ
自己対戦,ジコタイセン
万秒,マンビョウ
のこれ,ノコレ
一回,イチカイ
回生贄,カイイケニエ
生贄召喚,イケニエショウカン
電気代,デンキダイ
Googleコンピュータ囲碁,グーグルコンピュータイゴ
互角程度,ゴカクテイド
Masteringthe,マスタリングザ
Gowith,ゴーウィズ
