荒巻本沢１,アラマキホンザワイチ
１丁目,イチチョウメ
荒巻本沢２,アラマキホンザワニ
２丁目,ニチョウメ
荒巻本沢３,アラマキホンザワサン
３丁目,サンチョウメ
川平１,カワヒライチ
１丁目,イチチョウメ
東勝山１,ヒガシカツヤマイチ
１丁目,イチチョウメ
東勝山２,ヒガシカツヤマニ
２丁目,ニチョウメ
桜ケ丘１,サクラガオカイチ
１丁目,イチチョウメ
桜ケ丘２,サクラガオカニ
２丁目,ニチョウメ
吉成台１,ヨシナリダイイチ
１丁目,イチチョウメ
吉成１,ヨシナリイチ
１丁目,イチチョウメ
吉成３,ヨシナリサン
３丁目,サンチョウメ
国見ケ丘２,クニミガオカニ
２丁目,ニチョウメ
国見ケ丘４,クニミガオカヨン
４丁目,ヨンチョウメ
国見ケ丘５,クニミガオカゴ
５丁目,ゴチョウメ
国見１,クニミイチ
１丁目,イチチョウメ
国見３,クニミサン
３丁目,サンチョウメ
国見４,クニミヨン
４丁目,ヨンチョウメ
国見５,クニミゴ
５丁目,ゴチョウメ
国見６,クニミロク
６丁目,ロクチョウメ
土樋１,ツチトイイチ
１丁目,イチチョウメ
堤町３,ツツミチョウサン
３丁目,サンチョウメ
中山１,ナカヤマイチ
１丁目,イチチョウメ
中山５,ナカヤマゴ
５丁目,ゴチョウメ
中山６,ナカヤマロク
６丁目,ロクチョウメ
中山７,ナカヤマナナ
７丁目,ナナチョウメ
中山８,ナカヤマハチ
８丁目,ハチチョウメ
八幡１,ヤハタイチ
１丁目,イチチョウメ
八幡４,ヤハタヨン
４丁目,ヨンチョウメ
八幡５,ヤハタゴ
５丁目,ゴチョウメ
八幡６,ヤハタロク
６丁目,ロクチョウメ
八幡７,ヤハタナナ
７丁目,ナナチョウメ
北山３,キタヤマサン
３丁目,サンチョウメ
北根２,キタネニ
２丁目,ニチョウメ
南吉成３,ミナミヨシナリサン
３丁目,サンチョウメ
台原１,ダイノハライチ
１丁目,イチチョウメ
茂ケ崎１,モガサキイチ
１丁目,イチチョウメ
茂ケ崎２,モガサキニ
２丁目,ニチョウメ
茂ケ崎３,モガサキサン
３丁目,サンチョウメ
茂庭字,モニワジ
字佐保山,ジサホヤマ
佐保山東,サホヤマヒガシ
西多賀１,ニシタガイチ
１丁目,イチチョウメ
西多賀３,ニシタガサン
３丁目,サンチョウメ
金剛沢３,コンゴウサワサン
３丁目,サンチョウメ
鈎取字,カギトリジ
字御堂平,ジミドウダイラ
鈎取字,カギトリジ
字谷地田,ジヤチダ
鈎取字,カギトリジ
字青木,ジアオキ
青木塒,アオキネグラ
鈎取本町２,カギトリホンチョウニ
２丁目,ニチョウメ
鈎取４,カギトリヨン
４丁目,ヨンチョウメ
長町字,ナガマチジ
字越路,ジコシジ
青山２,アオヤマニ
２丁目,ニチョウメ
向山１,ムコウヤマイチ
１丁目,イチチョウメ
向山２,ムコウヤマニ
２丁目,ニチョウメ
向山３,ムコウヤマサン
３丁目,サンチョウメ
向山４,ムコウヤマヨン
